Track,Track ID,Artist,Artist ID,Playlisted,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acoustic,Instrumental,Liveness,Valence,Tempo,Dur,Sig
abyss kiss,1CxnzQ5pmOua6owkky7xUD,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-0.3742059675255187,-0.9477011444711534,-0.6548776184289222,-0.6165873572342421,0.541457361328183,-0.34436785857064744,1.3399926451786748,0.9221596185794831,-0.34644322589183735,-0.5822562769041854,-0.8003770814054313,-0.3169043226429489,-1.5764351976768851
womb,7G7yTUCAP2bgccktIuKLb5,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.17916250665884936,-0.6314931568302775,-0.6548776184289222,-0.054195416594372166,0.541457361328183,-0.3591798685154526,1.4048978207246738,-0.5810282390536478,-0.5044792264635976,0.25722781025878255,0.868093961037847,-0.8156319928015481,0.28497097804159094
what can you say,6MrHbVStATMttFI6NEoaf5,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.5941888622971249,-1.4091938831902697,-1.5031790060140662,-0.5415694994036224,-1.846867493955613,-0.1983637605432825,1.399253892416326,-0.6409600833040218,-0.5518900266351257,-0.7382259980164307,0.25802334625990025,-0.6822346645359298,0.28497097804159094
come,6MX8v7cRooNQb5fW5Uo6Sm,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-1.460191598112341,-1.2553629702838975,-0.9376447476239702,-1.9831223352003977,0.541457361328183,-0.1983637605432825,1.255333720553459,0.1647271478006643,1.4235599805118766,-1.3295347348213846,0.7013705388574515,1.089858730771697,-1.5764351976768851
10 miles,4ijhoUbvSSWrPsnEkV2OAo,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-0.6093875690538753,-1.4861093396434555,0.4761908983512699,-1.687406779493891,-1.846867493955613,-0.2703078088466217,1.4020758565704998,0.8905999322970324,-0.5044792264635976,-0.9492438559918217,-1.7121965944450148,0.2973659886620826,0.28497097804159094
from,1XwgsaVrEqkKbK09oo4gra,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-0.09752173043333486,-0.9135164971586263,-0.6548776184289222,-0.7896124164242192,0.541457361328183,-0.28935182163279977,1.3738562150287612,0.49294788513815235,-0.4965774264350095,-0.36206372945160364,0.5391703464437132,0.05763593992112452,0.28497097804159094
zombie girl,3v2OxIsGWJXWfLuRkB59Q6,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.2483335659318954,-1.6356671716357616,0.7589580275463179,-2.2476207823257752,0.541457361328183,0.047092404256345435,1.232758007320068,-0.649253653262187,-0.36224682594901336,-0.03177490827273101,0.29859106322961115,-0.513829171901216,0.28497097804159094
Jonathan,2NYUjoQTERcR5ZLayYmajs,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.5319349089513834,-0.887878011674231,1.6072594151314619,-1.001598363068163,0.541457361328183,-0.07563567814346853,1.0860158713030266,-0.6435479775791827,-0.4333630262063055,0.3948481524166462,0.5901273567837158,-0.8840156537844094,0.28497097804159094
terminal paradise,3JQss8SAZIIkVo3c8SkCTE,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-1.142004725456329,-1.469017015987192,-0.08934336003882616,-1.1673636295648548,0.541457361328183,-0.23010378185357924,1.3202388960994575,0.3130576733281829,-0.5937695667866421,-1.265770642954908,0.4099755962335547,0.27475981974212843,0.28497097804159094
mostly chimes,1z0FackhcSfTVCaLW6G1Rp,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-1.557031081094605,-1.913844739141451,0.4761908983512699,-5.504847770713319,-1.846867493955613,0.04497640283565892,1.2581556847076327,1.0831140186199824,-0.5518900266351257,-1.6322994875686845,0.5994565181774465,7.940291918300742,-5.299247549113837
my angel,0jpEKGcoyt7oNpgI9S9cbA,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-0.24969806083403578,-1.5758440388388393,-1.2204118768190182,-1.8548659976190158,-1.846867493955613,0.1634724823941,1.2891972904035454,-0.4913987300114875,-0.44126482623489355,-1.2565959534777171,0.48093376319799647,0.9581568651750751,0.28497097804159094
out of your mind,0TguBm26qNte0xXxBOUdgZ,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.19299671851345856,-0.01189642429072376,0.7589580275463179,0.331783561598654,0.541457361328183,-0.3168598401017236,0.8320390974273785,-0.2550166797559311,-0.5123810264921855,-0.1877446293849763,-0.8263503148311606,0.1948009630067351,-5.299247549113837
anything,4PwWESSlTwzvw9B7bmtTLS,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,1,-0.6232217809084845,-0.8323279597913745,-0.6548776184289222,-0.6913632219750852,0.541457361328183,-0.07140367530209565,0.8461489181982478,-0.6494382774269393,-0.6838500871125454,0.6976129051639461,-1.281641661031292,-0.11798050196629693,0.28497097804159094
